"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"54","NO","12",2020-08-04,"N2",0.00548557833333333,97956.755952381,133481.010071168,2150677604588.27,2930626031934.29
"55","NO","13",2020-08-11,"N1",0.0112825331666667,201473.806547619,279876.226959815,3935330564144.06,5466742744407.12
"56","NO","13",2020-08-11,"N2",0.0149165371666667,266366.735119048,371648.686647638,5202865682380.89,7259308099401.83
"57","NO","14",2020-08-18,"N1",0.00677492383333333,120980.782738095,166041.901011966,2614962247920.14,3588944400030.42
"58","NO","14",2020-08-18,"N2",0.0341369611666667,609588.592261905,297979.810474013,13176069119824.9,6440741557432.34
"59","NO","15",2020-08-25,"N1",0.0504272178333333,900486.032738095,401599.894788244,21679388179070,9668600839165.14
"60","NO","15",2020-08-25,"N2",0.0186120015,332357.169642857,464973.254138103,8001567856500.21,11194327621822.4
"61","NO","16",2020-09-01,"N1",0.713447788666667,12740139.0833333,5339428.05551773,276338703855036,115814326557802
"62","NO","16",2020-09-01,"N2",0.575346750166667,10274049.110119,1506207.43487178,222848227626292,32670240690997.6
"63","NO","17",2020-09-08,"N1",0.207982252166667,3713968.78869048,2025361.57181597,69732117178288.2,38027446779936.7
"64","NO","17",2020-09-08,"N2",0.401224670666667,7164726.26190476,212134.66917052,134522275137821,3982962822202.9
"65","NO","18",2020-09-15,"N1",0.844505184083333,15080449.7157738,17957117.50327,311687840965887,371143784837571
"66","NO","18",2020-09-15,"N2",0.123147204583333,2199057.22470238,1597602.72763961,45450859320925.1,33019794123139.1
"67","NO","19",2020-09-22,"N1",0.0201447544166667,359727.757440476,424997.526044659,7380506412586.72,8719641177050.75
"68","NO","19",2020-09-22,"N2",0.0177853299166667,317595.177083333,258217.383037563,6516075539313.97,5297825958469.29
"69","NO","20",2020-09-29,"N1",2e-04,3571.42857142857,0,75032233928.5714,0
"70","NO","20",2020-09-29,"N2",2e-04,3571.42857142857,0,75032233928.5714,0
"71","NO","21",2020-10-06,"N1",2e-04,3571.42857142857,0,72733949285.7143,0
"72","NO","21",2020-10-06,"N2",0.000524223833333333,9361.13988095238,8187.88825615347,190644348540.147,166750485770.445
"73","NO","22",2020-10-13,"N1",0.0280467071111111,500834.055555556,861284.134641679,10673704423814.3,18355565433521.6
"74","NO","22",2020-10-13,"N2",0.0312034278888889,557204.069444444,319741.752814436,11875054172183.4,6814290928574.89
"75","NO","23",2020-10-20,"N1",0.0502963476666667,898149.065476191,1549453.91843395,17747282009588.9,30616961825518.7
"76","NO","23",2020-10-20,"N2",0.0681696161111111,1217314.5734127,195225.256368019,24053941443766.1,3857619868836.08
"77","NO","5",2020-06-16,"N1",2e-04,3571.42857142857,0,65163129285.7143,0
"78","NO","5",2020-06-16,"N2",2e-04,3571.42857142857,0,65163129285.7143,0
"79","NO","6",2020-06-23,"N1",2e-04,3571.42857142857,0,71652403571.4286,0
"80","NO","6",2020-06-23,"N2",2e-04,3571.42857142857,0,71652403571.4286,0
"81","NO","7",2020-06-30,"N1",0.680274777611111,12147763.8859127,19064353.5009014,227622121112295,357223652209944
"82","NO","7",2020-06-30,"N2",0.214955141277778,3838484.6656746,4294454.94118094,71924679279541.9,80468549760533.9
"83","NO","8",2020-07-07,"N1",2e-04,3571.42857142857,0,75167427142.8571,0
"84","NO","8",2020-07-07,"N2",0.133638836222222,2386407.78968254,2981060.30341312,50226437425950.5,62742017286275.5
"85","NO","9",2020-07-14,"N1",0.0297532391111111,531307.841269841,914066.279797788,9653846474022.09,16608555053804.8
"86","NO","9",2020-07-14,"N2",0.367732627333333,6566654.05952381,5774929.21637957,119315894128618,104930279063882
